1.0000000000000000e+00 4.5000000000000000e+01
2.0000000000000000e+00 7.1000000000000000e+01
3.0000000000000000e+00 7.2000000000000000e+01
4.0000000000000000e+00 4.4000000000000000e+01
5.0000000000000000e+00 7.3000000000000000e+01
6.0000000000000000e+00 7.4000000000000000e+01
7.0000000000000000e+00 4.3000000000000000e+01
8.0000000000000000e+00 7.5000000000000000e+01
9.0000000000000000e+00 7.6000000000000000e+01
1.0000000000000000e+01 4.2000000000000000e+01
1.1000000000000000e+01 7.7000000000000000e+01
1.2000000000000000e+01 4.1000000000000000e+01
1.3000000000000000e+01 7.8000000000000000e+01
1.4000000000000000e+01 4.0000000000000000e+01
1.5000000000000000e+01 7.9000000000000000e+01
1.6000000000000000e+01 3.9000000000000000e+01
1.7000000000000000e+01 8.0000000000000000e+01
1.8000000000000000e+01 3.8000000000000000e+01
1.9000000000000000e+01 8.1000000000000000e+01
2.0000000000000000e+01 3.7000000000000000e+01
2.1000000000000000e+01 8.2000000000000000e+01
2.2000000000000000e+01 3.6000000000000000e+01
